"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,182,"PRT","Portugal",1,"Évora",1,"Évora","Concelho","Municipality",NA,NA
2,182,"PRT","Portugal",1,"Évora",2,"Alandroal","Concelho","Municipality",NA,NA
3,182,"PRT","Portugal",1,"Évora",3,"Arraiolos","Concelho","Municipality",NA,NA
4,182,"PRT","Portugal",1,"Évora",4,"Borba","Concelho","Municipality",NA,NA
5,182,"PRT","Portugal",1,"Évora",5,"Estremoz","Concelho","Municipality",NA,NA
6,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo","Concelho","Municipality",NA,NA
7,182,"PRT","Portugal",1,"Évora",7,"Mora","Concelho","Municipality",NA,NA
8,182,"PRT","Portugal",1,"Évora",8,"Mourão","Concelho","Municipality",NA,NA
9,182,"PRT","Portugal",1,"Évora",9,"Portel","Concelho","Municipality",NA,NA
10,182,"PRT","Portugal",1,"Évora",10,"Redondo","Concelho","Municipality",NA,NA
11,182,"PRT","Portugal",1,"Évora",11,"Reguengos de Monsaraz","Concelho","Municipality",NA,NA
12,182,"PRT","Portugal",1,"Évora",12,"Vendas Novas","Concelho","Municipality",NA,NA
13,182,"PRT","Portugal",1,"Évora",13,"Viana do Alentejo","Concelho","Municipality",NA,NA
14,182,"PRT","Portugal",1,"Évora",14,"Vila Viçosa","Concelho","Municipality",NA,NA
15,182,"PRT","Portugal",2,"Aveiro",15,"Águeda","Concelho","Municipality",NA,NA
16,182,"PRT","Portugal",2,"Aveiro",16,"Ílhavo","Concelho","Municipality",NA,NA
17,182,"PRT","Portugal",2,"Aveiro",17,"Albergaria-a-Velha","Concelho","Municipality",NA,NA
18,182,"PRT","Portugal",2,"Aveiro",18,"Anadia","Concelho","Municipality",NA,NA
19,182,"PRT","Portugal",2,"Aveiro",19,"Arouca","Concelho","Municipality",NA,NA
20,182,"PRT","Portugal",2,"Aveiro",20,"Aveiro","Concelho","Municipality",NA,NA
21,182,"PRT","Portugal",2,"Aveiro",21,"Castelo de Paiva","Concelho","Municipality",NA,NA
22,182,"PRT","Portugal",2,"Aveiro",22,"Espinho","Concelho","Municipality",NA,NA
23,182,"PRT","Portugal",2,"Aveiro",23,"Estarreja","Concelho","Municipality",NA,NA
24,182,"PRT","Portugal",2,"Aveiro",24,"Mealhada","Concelho","Municipality",NA,NA
25,182,"PRT","Portugal",2,"Aveiro",25,"Murtosa","Concelho","Municipality",NA,NA
26,182,"PRT","Portugal",2,"Aveiro",26,"Oliveira de Azeméis","Concelho","Municipality",NA,NA
27,182,"PRT","Portugal",2,"Aveiro",27,"Oliveira do Bairro","Concelho","Municipality",NA,NA
28,182,"PRT","Portugal",2,"Aveiro",28,"Ovar","Concelho","Municipality",NA,NA
29,182,"PRT","Portugal",2,"Aveiro",29,"São João da Madeira","Concelho","Municipality",NA,NA
30,182,"PRT","Portugal",2,"Aveiro",30,"Santa Maria da Feira","Concelho","Municipality",NA,"Feira"
31,182,"PRT","Portugal",2,"Aveiro",31,"Sever do Vouga","Concelho","Municipality",NA,NA
32,182,"PRT","Portugal",2,"Aveiro",32,"Vagos","Concelho","Municipality",NA,NA
33,182,"PRT","Portugal",2,"Aveiro",33,"Vale de Cambra","Concelho","Municipality",NA,NA
34,182,"PRT","Portugal",3,"Azores",34,"Angra do Heroísmo","Concelho","Municipality","'<U+0250>~g<U+027E><U+0250> du e<U+027E>u'i<U+0292>mu","Angra"
35,182,"PRT","Portugal",3,"Azores",35,"Calheta","Concelho","Municipality",NA,NA
36,182,"PRT","Portugal",3,"Azores",36,"Corvo","Concelho","Municipality",NA,"Korvu"
37,182,"PRT","Portugal",3,"Azores",37,"Horta","Concelho","Municipality",NA,NA
38,182,"PRT","Portugal",3,"Azores",38,"Lagoa","Concelho","Municipality",NA,NA
39,182,"PRT","Portugal",3,"Azores",39,"Lajes das Flores","Concelho","Municipality",NA,NA
40,182,"PRT","Portugal",3,"Azores",40,"Lajes do Pico","Concelho","Municipality",NA,NA
41,182,"PRT","Portugal",3,"Azores",41,"Madalena","Concelho","Municipality",NA,NA
42,182,"PRT","Portugal",3,"Azores",42,"Nordeste","Concelho","Municipality",NA,NA
43,182,"PRT","Portugal",3,"Azores",43,"Ponta Delgada","Concelho","Municipality",NA,NA
44,182,"PRT","Portugal",3,"Azores",44,"Povoação","Concelho","Municipality",NA,NA
45,182,"PRT","Portugal",3,"Azores",45,"Praia da Vitória","Concelho","Municipality",NA,NA
46,182,"PRT","Portugal",3,"Azores",46,"Ribeira Grande","Concelho","Municipality",NA,NA
47,182,"PRT","Portugal",3,"Azores",47,"São Roque do Pico","Concelho","Municipality",NA,NA
48,182,"PRT","Portugal",3,"Azores",48,"Santa Cruz da Graciosa","Concelho","Municipality",NA,NA
49,182,"PRT","Portugal",3,"Azores",49,"Santa Cruz das Flores","Concelho","Municipality",NA,NA
50,182,"PRT","Portugal",3,"Azores",50,"Velas","Concelho","Municipality",NA,NA
51,182,"PRT","Portugal",3,"Azores",51,"Vila do Porto","Concelho","Municipality",NA,NA
52,182,"PRT","Portugal",3,"Azores",52,"Vila Franca do Campo","Concelho","Municipality",NA,NA
53,182,"PRT","Portugal",4,"Beja",53,"Aljustrel","Concelho","Municipality",NA,NA
