"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,182,"PRT","Portugal",1,"Évora",1,"Évora",1,"Évora (São Mamede)","Parish","Parish",NA,NA
2,182,"PRT","Portugal",1,"Évora",1,"Évora",2,"Évora (Santo Antão)","Parish","Parish",NA,NA
3,182,"PRT","Portugal",1,"Évora",1,"Évora",3,"Bacelo","Parish","Parish",NA,NA
4,182,"PRT","Portugal",1,"Évora",1,"Évora",4,"Canaviais","Parish","Parish",NA,NA
5,182,"PRT","Portugal",1,"Évora",1,"Évora",5,"Horta Das Figueiras","Parish","Parish",NA,NA
6,182,"PRT","Portugal",1,"Évora",1,"Évora",6,"Malagueira","Parish","Parish",NA,NA
7,182,"PRT","Portugal",1,"Évora",1,"Évora",7,"Nossa Senhora Da Boa Fé","Parish","Parish",NA,NA
8,182,"PRT","Portugal",1,"Évora",1,"Évora",8,"Nossa Senhora Da Graça Do Divor","Parish","Parish",NA,NA
9,182,"PRT","Portugal",1,"Évora",1,"Évora",9,"Nossa Senhora Da Tourega","Parish","Parish",NA,NA
10,182,"PRT","Portugal",1,"Évora",1,"Évora",10,"Nossa Senhora De Guadalupe","Parish","Parish",NA,NA
11,182,"PRT","Portugal",1,"Évora",1,"Évora",11,"Nossa Senhora De Machede","Parish","Parish",NA,NA
12,182,"PRT","Portugal",1,"Évora",1,"Évora",12,"São Bento Do Mato","Parish","Parish",NA,NA
13,182,"PRT","Portugal",1,"Évora",1,"Évora",13,"São Manços","Parish","Parish",NA,NA
14,182,"PRT","Portugal",1,"Évora",1,"Évora",14,"São Miguel De Machede","Parish","Parish",NA,NA
15,182,"PRT","Portugal",1,"Évora",1,"Évora",15,"São Sebastião Da Giesteira","Parish","Parish",NA,NA
16,182,"PRT","Portugal",1,"Évora",1,"Évora",16,"São Vicente Do Pigeiro","Parish","Parish",NA,NA
17,182,"PRT","Portugal",1,"Évora",1,"Évora",17,"Sé E São Pedro","Parish","Parish",NA,NA
18,182,"PRT","Portugal",1,"Évora",1,"Évora",18,"Senhora Da Saúde","Parish","Parish",NA,NA
19,182,"PRT","Portugal",1,"Évora",1,"Évora",19,"Torre De Coelheiros","Parish","Parish",NA,NA
20,182,"PRT","Portugal",1,"Évora",2,"Alandroal",20,"Alandroal (Nossa Senhora Da Conceição)","Parish","Parish",NA,NA
21,182,"PRT","Portugal",1,"Évora",2,"Alandroal",21,"Capelins (Santo António)","Parish","Parish",NA,NA
22,182,"PRT","Portugal",1,"Évora",2,"Alandroal",22,"Juromenha (Nossa Senhora Do Loreto)","Parish","Parish",NA,NA
23,182,"PRT","Portugal",1,"Évora",2,"Alandroal",23,"São Brás Dos Matos (Mina Do Bugalho)","Parish","Parish",NA,NA
24,182,"PRT","Portugal",1,"Évora",2,"Alandroal",24,"Santiago Maior","Parish","Parish",NA,NA
25,182,"PRT","Portugal",1,"Évora",2,"Alandroal",25,"Terena (São Pedro)","Parish","Parish",NA,NA
26,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",26,"Arraiolos","Parish","Parish",NA,NA
27,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",27,"Gafanhoeira (São Pedro)","Parish","Parish",NA,NA
28,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",28,"Igrejinha","Parish","Parish",NA,NA
29,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",29,"São Gregório","Parish","Parish",NA,NA
30,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",30,"Sabugueiro","Parish","Parish",NA,NA
31,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",31,"Santa Justa","Parish","Parish",NA,NA
32,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",32,"Vimieiro","Parish","Parish",NA,NA
33,182,"PRT","Portugal",1,"Évora",4,"Borba",33,"Borba (Matriz)","Parish","Parish",NA,NA
34,182,"PRT","Portugal",1,"Évora",4,"Borba",34,"Borba (São Bartolomeu)","Parish","Parish",NA,NA
35,182,"PRT","Portugal",1,"Évora",4,"Borba",35,"Orada","Parish","Parish",NA,NA
36,182,"PRT","Portugal",1,"Évora",4,"Borba",36,"Rio De Moinhos","Parish","Parish",NA,NA
37,182,"PRT","Portugal",1,"Évora",5,"Estremoz",37,"Évora Monte (Santa Maria)","Parish","Parish",NA,NA
38,182,"PRT","Portugal",1,"Évora",5,"Estremoz",38,"Arcos","Parish","Parish",NA,NA
39,182,"PRT","Portugal",1,"Évora",5,"Estremoz",39,"Estremoz (Santa Maria)","Parish","Parish",NA,NA
40,182,"PRT","Portugal",1,"Évora",5,"Estremoz",40,"Estremoz (Santo André)","Parish","Parish",NA,NA
41,182,"PRT","Portugal",1,"Évora",5,"Estremoz",41,"Glória","Parish","Parish",NA,NA
42,182,"PRT","Portugal",1,"Évora",5,"Estremoz",42,"São Bento De Ana Loura","Parish","Parish",NA,NA
43,182,"PRT","Portugal",1,"Évora",5,"Estremoz",43,"São Bento Do Ameixial","Parish","Parish",NA,NA
44,182,"PRT","Portugal",1,"Évora",5,"Estremoz",44,"São Bento Do Cortiço","Parish","Parish",NA,NA
45,182,"PRT","Portugal",1,"Évora",5,"Estremoz",45,"São Domingos De Ana Loura","Parish","Parish",NA,NA
46,182,"PRT","Portugal",1,"Évora",5,"Estremoz",46,"São Lourenço De Mamporcão","Parish","Parish",NA,NA
47,182,"PRT","Portugal",1,"Évora",5,"Estremoz",47,"Santa Vitória Do Ameixial","Parish","Parish",NA,NA
48,182,"PRT","Portugal",1,"Évora",5,"Estremoz",48,"Santo Estêvão","Parish","Parish",NA,NA
